Player,Team,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS
Tampa Bay Buccaneers,,46.5,15.8,11.1,17.4,2.8,0.9,366,"5,515.50",119.2
Pittsburgh Steelers,,47.1,14.9,10.4,15.7,2.7,0.9,358.5,"5,547.40",115.4
Los Angeles Rams,,45.9,14.4,10.7,15.8,2.7,0.9,366,"5,581.50",113.9
Washington Football Team,,46.3,14.3,10.5,15.6,2.4,0.5,373,"5,604.80",111.3
Indianapolis Colts,,42.2,14.1,10.6,17.1,2.9,0.9,382.6,"5,784.10",110.6
New Orleans Saints,,43.5,15,9.5,13.2,2.5,0.2,371.2,"5,676.40",108.1
Green Bay Packers,,41.9,15.6,9.2,14.3,2.5,0.5,377,"5,894.20",107.9
Arizona Cardinals,,46.5,12.2,10.6,16.9,2.3,0.9,390,"5,963.90",107.6
Philadelphia Eagles,,44.7,12.6,10.4,16.3,2.5,0.9,405.7,"6,058.90",107.3
Baltimore Ravens,,38.2,13.1,11.3,17.7,3,0.9,352.3,"5,661.40",106.8
Seattle Seahawks,,41.8,13.9,10.1,14.9,2.4,1.2,389,"5,995.30",106.7
New England Patriots,,40.5,15.4,9.1,12.6,2.6,0.5,361.7,"5,824.80",106.2
Buffalo Bills,,40.7,14.9,9.7,15,2.6,0.2,366.5,"5,736.00",106.1
Kansas City Chiefs,,38.1,14.5,9.6,14.9,3,0.5,386.1,"5,998.50",105
Carolina Panthers,,37.3,13.9,11.7,20.3,2.5,0.6,418.7,"6,048.90",105
Cleveland Browns,,39.4,14.2,10.2,15.2,2.4,0.9,388.2,"5,913.20",104.5
Miami Dolphins,,39.4,15.1,8.8,15.7,2.6,0.9,395.8,"6,187.10",104.5
San Francisco 49ers,,41.4,13.1,10.4,16.8,2.5,0.5,375.7,"5,505.10",104.5
Dallas Cowboys,,38.7,13.1,11.6,19.5,2.6,0.2,407.1,"6,144.30",104.1
Denver Broncos,,41.2,12.8,9.2,13.9,2.5,0.8,398.2,"5,871.40",101.7
Los Angeles Chargers,,38.9,13.8,8.9,12,2.7,0.5,389.6,"5,736.60",101.3
New York Giants,,39.3,13,10,16.8,2.4,0.5,410.1,"6,086.20",100.9
Atlanta Falcons,,35,13.4,10.5,17.4,2.5,0.2,407.4,"6,294.30",98.1
Chicago Bears,,37.1,12.5,10.4,16.9,2.2,0.9,392.2,"5,854.80",98
Minnesota Vikings,,36,14.2,9.2,14.7,2.5,0.2,395.7,"6,136.00",98
Tennessee Titans,,34.8,14.4,9.2,14.1,2.4,0.2,409.9,"6,189.20",97.3
New York Jets,,36,12.4,9.4,15.4,2.2,0.2,431,"6,038.10",93
Las Vegas Raiders,,33.3,13.2,9.4,14.1,2.3,0.2,438,"6,184.40",92.9
Jacksonville Jaguars,,33.6,12.6,8.6,12.6,2.4,0.5,448.4,"6,495.90",91.6
Houston Texans,,35.4,11.1,9.1,14.1,2.1,0.5,461,"6,647.30",89.3
Detroit Lions,,33.8,11,8.9,14.1,2.1,0.5,464.4,"6,660.30",87.2
Cincinnati Bengals,,29.1,13,8.8,13.9,2.1,0.5,434.1,"6,349.30",86.1
